State,County,Obama,Romney,obama_rate,romney_rate
FL,Levy,12052,6118,66.3,33.7
FL,Liberty,2301,942,71.0,29.0
FL,Madison,4474,4174,51.7,48.3
FL,Manatee,85616,66476,56.3,43.7
FL,Marion,93036,66823,58.2,41.8
FL,Martin,48180,30097,61.6,38.4
FL,Miami-Dade,332602,540776,38.1,61.9
FL,Monroe,19234,19392,49.8,50.2
FL,Nassau,29926,10249,74.5,25.5
FL,Okaloosa,70143,23390,75.0,25.0
FL,Okeechobee,7325,4856,60.1,39.9
FL,Orange,189057,274227,40.8,59.2
FL,Osceola,40581,67201,37.7,62.3
FL,Palm Beach,247257,349418,41.4,58.6
FL,Pasco,112335,98148,53.4,46.6
FL,Pinellas,213192,238966,47.1,52.9
FL,Polk,131566,114610,53.4,46.6
FL,Putnam,19326,11666,62.4,37.6
FL,St. Johns,78490,35155,69.1,30.9
FL,St. Lucie,56202,65869,46.0,54.0
FL,Santa Rosa,58169,17757,76.6,23.4
FL,Sarasota,110489,95089,53.7,46.3
FL,Seminole,109939,96435,53.3,46.7
FL,Sumter,40644,19519,67.6,32.4
FL,Suwannee,12672,4749,72.7,27.3
FL,Taylor,6249,2761,69.4,30.6
FL,Union,3980,1339,74.8,25.2
FL,Volusia,117473,114716,50.6,49.4
FL,Wakulla,9288,5173,64.2,35.8
FL,Walton,21483,6665,76.3,23.7
FL,Washington,8037,2820,74.0,26.0
GA,Georgia,2070221,1761761,54.0,46.0
GA,Appling,5231,1756,74.9,25.1
GA,Atkinson,1938,930,67.6,32.4
GA,Bacon,3092,791,79.6,20.4
GA,Baker,784,790,49.8,50.2
GA,Baldwin,7585,8469,47.2,52.8
GA,Banks,5353,779,87.3,12.7
GA,Barrow,18719,6019,75.7,24.3
GA,Bartow,26847,8383,76.2,23.8
GA,Ben Hill,3395,2508,57.5,42.5
GA,Berrien,4837,1268,79.2,20.8
GA,Bibb,25606,38538,39.9,60.1
GA,Bleckley,3586,1266,73.9,26.1
GA,Brantley,4963,939,84.1,15.9
GA,Brooks,3522,3101,53.2,46.8
GA,Bryan,9537,3695,72.1,27.9
GA,Bulloch,14159,9572,59.7,40.3
GA,Burke,4298,5403,44.3,55.7
GA,Butts,6306,2966,68.0,32.0
GA,Calhoun,883,1297,40.5,59.5
GA,Camden,11318,6358,64.0,36.0
