type,coordinates,location_displayname,City,State,posted_time ,epoch_time
Polygon,"-119.061758, 34.126875; -119.061758, 34.2500812; -118.776015, 34.2500812; -118.776015, 34.126875","Thousand Oaks, CA",Thousand Oaks, CA,12/16/14 5:19 PM,1418750375
Polygon,"-111.083219, 32.057802; -111.083219, 32.320979; -110.747928, 32.320979; -110.747928, 32.057802","Tucson, AZ",Tucson, AZ,12/16/14 5:31 AM,1418707894
Polygon,"-120.912851, 37.459822; -120.912851, 37.53937; -120.812106, 37.53937; -120.812106, 37.459822","Turlock, CA",Turlock, CA,12/17/14 5:44 AM,1418795063
Polygon,"-74.045819, 40.750571; -74.045819, 40.782669; -74.0148147, 40.782669; -74.0148147, 40.750571","Union City, NJ",Union City, NJ,12/16/14 3:10 AM,1418699423
Polygon,"-80.3854773, 25.732128; -80.3854773, 25.761752; -80.351653, 25.761752; -80.351653, 25.732128","University Park, FL",University Park, FL,12/17/14 2:22 PM,1418826176
Polygon,"-85.224667, 32.752675; -85.224667, 32.856282; -85.140283, 32.856282; -85.140283, 32.752675","Valley, AL",Valley, AL,12/16/14 2:01 AM,1418695315
Polygon,"-83.67529, 36.540739; -83.67529, 39.466012; -75.16644, 39.466012; -75.16644, 36.540739","Virginia, US",Virginia, US,12/16/14 11:24 AM,1418729093
Polygon,"-83.67529, 36.540739; -83.67529, 39.466012; -75.16644, 39.466012; -75.16644, 36.540739","Virginia, US",Virginia, US,12/16/14 9:18 PM,1418764729
Polygon,"-97.26899, 31.45507; -97.26899, 31.639828; -97.069786, 31.639828; -97.069786, 31.45507","Waco, TX",Waco, TX,12/17/14 2:35 PM,1418826937
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/16/14 11:55 PM,1418774129
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 1:20 AM,1418779215
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 1:47 AM,1418780833
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 1:54 PM,1418824474
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 1:55 PM,1418824539
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 1:58 PM,1418824726
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:02 PM,1418824962
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:04 PM,1418825092
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:08 PM,1418825337
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:10 PM,1418825447
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:10 PM,1418825456
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:11 PM,1418825480
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:16 PM,1418825775
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:16 PM,1418825817
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:20 PM,1418826044
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:23 PM,1418826188
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:26 PM,1418826374
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:27 PM,1418826468
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:30 PM,1418826613
Polygon,"-77.119401, 38.801826; -77.119401, 38.9953797; -76.909396, 38.9953797; -76.909396, 38.801826","Washington, DC",Washington, DC,12/17/14 2:34 PM,1418826844
